topic,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,carnegie_group,carnegie_tag
1,0.013249309593553099121,0.0120222411395017441205,0.0129847664866776416075,0.011455939863637495469,0.0115207932255392349825,0.010517031330971290194,0.0111868919114442711024,0.010391302693874526365,r1,R1
2,0.010555751274637400137,0.012873584605507336321,0.010923174099554030352,0.011543001277550077203,0.009385205354180697595,0.0134468442921135915885,0.009897661634951806151,0.012878544607004375038,r1,R1
3,0.0024443316799582816516,0.0030331867230207736309,0.0025376483647777450112,0.0030869654206861861104,0.0036143882868402750926,0.004319550223293595259,0.0034405532540799780141,0.00368458668910239898,r1,R1
4,0.00223910911827293344,0.0025323865558135607857,0.0023904735308693230329,0.0027293771502154911106,0.0022448850555521407227,0.002245705419660796671,0.00231804467000418048,0.0023646916059923597757,r1,R1
5,0.006590223922839920545,0.0058930125445775006562,0.0064104226116213575188,0.0057202173439703662795,0.0068205895840409075912,0.0074500287727001952713,0.0068610728480504092103,0.006410792247367518056,r1,R1
6,0.009076214068337823494,0.009197666408500678714,0.008651312656966008295,0.010790293621740539842,0.0068631887353570842555,0.007164390980288600329,0.0070638830991377772596,0.008510750292505982561,r1,R1
7,0.0022812029439292449476,0.0025589059340024068291,0.002494914424069094695,0.00269937000932572425,0.003864947976546216156,0.004196243652449160632,0.0039296466841543706827,0.0035166248405907383465,r1,R1
8,0.00196333873108235298,0.0017202260039447993965,0.0019601304537982014653,0.0023711501369892281783,0.001417517643567273526,0.0012741172480666785554,0.0013635941020518197211,0.0014353824885887015035,r1,R1
9,0.0013157744218314630163,0.0013988414971339263086,0.0013666090968365280053,0.0014336888833947113159,0.0011552539010139005934,0.0011571474693360510313,0.0012032062541333630211,0.0012834021113430164991,r1,R1
10,0.004082218066842360322,0.0040495068225333275767,0.004317836514711805166,0.0043764479118464738045,0.005355766034620878589,0.005093090171719781189,0.005501708132276596747,0.005692265263561167261,r1,R1
11,0.003192837614125149747,0.0037132874751760884957,0.0035735833088951498766,0.0038604324861538799787,0.0077711149936952212445,0.008942336216706815926,0.008416871643343321857,0.0080162219327337422865,r1,R1
12,0.0014681917495961495596,0.0015236057814811285608,0.0014719749425657894587,0.0013903403742641680662,0.0016050760604096241551,0.0014021402256565061878,0.0015440838946217655909,0.0014312082757193126339,r1,R1
13,0.0019852034326876995076,0.0016796683538600671696,0.0019203748252714430355,0.0019563456011849319302,0.0014837157390275582289,0.001398146150041475204,0.0014205669943841207575,0.0018668493671932831098,r1,R1
14,0.0028368086980906731414,0.0036790481916906157115,0.0027675066284584039733,0.004682211342248689433,0.0020295015927300839145,0.0019496683972876751536,0.001946163100273950096,0.0025282770122377095483,r1,R1
15,0.011246101742004002617,0.011194433504681401735,0.011302220969035710987,0.0129284056565868423915,0.012868464486127736122,0.012960720215314432189,0.0131407099855272481016,0.014447556255798293825,r1,R1
16,0.0034724175908709974778,0.0040451204485254621298,0.0050038510892540392993,0.003654741905078636698,0.0051847981094675242446,0.0061558737603584138755,0.007095505380934244273,0.0060455297307459798097,r1,R1
17,0.0076832739133371449132,0.008457989877217036057,0.00702904978534229684,0.009960572393034593863,0.007499478997437277781,0.006584897798386074129,0.007102466946804345165,0.007893581585773953088,r1,R1
18,0.00090243689047304962667,0.00087743091779869816783,0.001003347864992613454,0.0011589393734675695129,0.00067456598846095249693,0.00072907057791515539475,0.0006664145167881379085,0.0010388855661106447045,r1,R1
19,0.0022006300241511713955,0.0021102281567777468175,0.0021501044151238656474,0.001800223866182203941,0.0023085987263947011185,0.002226398675199964578,0.0023415599672917591487,0.002134222579093620615,r1,R1
20,0.0068294409298647713045,0.0059757815615109487292,0.006434563619669640109,0.0065419834521637451222,0.008888156147114648245,0.00876664025574778814,0.0088068812195189880724,0.008492479079880409478,r1,R1
21,0.024229330607449234534,0.022315798396023942706,0.022775422155582130669,0.028200310273933016847,0.017496713578446201146,0.016041069679927611145,0.016816933394258145654,0.020004303830885797254,r1,R1
22,0.004452447966704471397,0.0042373272891609904346,0.0041057676135918090176,0.004503961996737388077,0.0037675306921443171795,0.0036478915719486672317,0.0037689037858717559688,0.0037898780648522726338,r1,R1
23,0.0016860449550774783842,0.0015590369133566288464,0.0018019194745011568876,0.0019767409332681487503,0.0012728020102516862085,0.0012656153922664619459,0.001246117224439113527,0.0013905679940108369848,r1,R1
24,0.0013898850312414940235,0.0016976126854477762052,0.00151928097536325467,0.0013229575349183161099,0.0016572553201823468377,0.0018401510272085662406,0.0017438786852005943094,0.0014913298606189193879,r1,R1
25,0.0011596812413606411357,0.0009983229862438291709,0.001183164244572117849,0.0012839695834731726419,0.0010462205653441648918,0.0010975599163292868164,0.0012221830158725201512,0.0010803487847159767203,r1,R1
26,0.0017085056201903540183,0.0016098153808539097799,0.0015857110932274698717,0.0019596141169283470214,0.0011998990789954272696,0.0011356312155522003918,0.0011529608661514834124,0.0011512036570281122695,r1,R1
27,0.001710579310839076355,0.001480215193130185777,0.001599043827229630464,0.0018585434112979890103,0.0012763311736854050966,0.0012177763122983574591,0.0012884468489745794682,0.0012601414810056304421,r1,R1
28,0.0059142529284028613945,0.0048444505027276406802,0.0055222757854871985927,0.0060788664185877723084,0.003807888325927687001,0.0033707709260433303863,0.0035711862664534665006,0.0036840099328849499277,r1,R1
29,0.0015233483168148814544,0.0015324011637313920218,0.001488359365268395934,0.0013856662657541197381,0.0015609941878234345556,0.0015939332614765564334,0.0016730764544153151725,0.0014190029087381232801,r1,R1
30,0.0049630583511727515534,0.004571365682623126357,0.0048332750469744557316,0.0059954662454657122725,0.0046387783083395663096,0.0049452506938201590356,0.0048421918243966221904,0.005096331497261310032,r1,R1
31,0.012214344772619292723,0.01066546625543452436,0.011306389410312829201,0.010260771975189566473,0.011480045656329681274,0.01134269494578271366,0.010895391692168608513,0.010562430646662304491,r1,R1
32,0.0007857950153468487032,0.000765519247049365052,0.00074868985516463404754,0.0006965374801626332074,0.00081335697814077552435,0.00083621220955899158375,0.00080968945104549892064,0.0007742122140062718897,r1,R1
33,0.0022193698761763323317,0.0018289479567870446487,0.001987880333270605186,0.0019623511225496935703,0.0021597785809749201634,0.0019281802164306322283,0.0021789644836618933685,0.0017958633060158804623,r1,R1
34,0.0019990063061428823975,0.0020589085533539884332,0.0020399367313826493046,0.0019225111657470196353,0.0016331255451357818936,0.0016070214565373684328,0.0016340673095080118863,0.0016706715585091959207,r1,R1
35,0.008675853800582498822,0.0074553048921170561726,0.00814130599219893729,0.007570308153755316212,0.009017376352110682409,0.0078346227493720706814,0.009044318858723862141,0.007255748033745036917,r1,R1
36,0.0012744568022508592134,0.0015115549079431968775,0.0013317596767128822249,0.0011796488415254445578,0.0012449395947940955536,0.0011903673300296542237,0.0012348335244504023333,0.0012085773647584965423,r1,R1
37,0.0092910832907678345465,0.009075040988965016189,0.009004259202376202852,0.00843083824885947122,0.011440569549621971426,0.009804479055520889078,0.010605577118038393467,0.008839245664920073332,r1,R1
38,0.0031290869604995096633,0.002807017086851343283,0.0031451405189651635509,0.0024732828390242337452,0.0034932374824221981665,0.00343574767684248867,0.0037862922958046619318,0.0031938211805937995032,r1,R1
39,0.0019446232219374844853,0.0018988634727678999595,0.0020236044823828971395,0.00175025913310919885,0.0024201048072521612614,0.0021544053910599389684,0.0024310200343732437892,0.0018946349685668533422,r1,R1
40,0.0050189487241702637924,0.0042184144830759709376,0.0053405472532924380905,0.0037748371271015884194,0.0055572320981729694033,0.0045384185499438779348,0.0053680603019531567744,0.005514900522860546729,r1,R1
41,0.0015876044137175179673,0.0014814990241947725242,0.0015090280803107829926,0.0018193821438138053311,0.0017060120944177088565,0.0013591685082268295546,0.0015676482534680086952,0.001504028455107313558,r1,R1
42,0.002366687067209783069,0.002425173116838191037,0.0023927574986687967897,0.0020464335447354787444,0.002494763850154189236,0.0023726925853703827033,0.0024076093395303070912,0.0024423422714179274436,r1,R1
43,0.0013938270447940326392,0.001411969754584771794,0.0014569190334789263375,0.0015387904094367663797,0.0013001223114628963367,0.0014497838147641029858,0.0012800009654086284023,0.0014590657265696047722,r1,R1
44,0.0045511374285350811997,0.004415461347278393946,0.0044232340394640435144,0.004862504610875009053,0.0057716364384055102147,0.0063033266199304774463,0.0059354075728967216693,0.0058324221563533651596,r1,R1
45,0.00089246346430872897713,0.00084020685866855583374,0.0009073337611291281848,0.00088981213399438708087,0.0008236061895926411195,0.00076544932981371626337,0.00079769783060036911985,0.00079375070972030311093,r1,R1
46,0.0012924461201896821819,0.0016312390903641093084,0.0012387940015674518515,0.0012600529010208037511,0.0009931558989766001394,0.0009822505580680124042,0.0010225116434178461293,0.0009641460792691834184,r1,R1
47,0.0020556644356915037137,0.0018946770540044503338,0.0019734668040788359804,0.0021066288029689873312,0.0018997129902595619928,0.0018233074586595766156,0.0018160440589244067612,0.0020125816553217268361,r1,R1
48,0.0043049709877935987627,0.003614726754753546958,0.004428986102246303623,0.0042210334527573845077,0.004093879428140319347,0.0037187739994660981427,0.004149852720958096364,0.0042350894852951371654,r1,R1
49,0.0010540534244984677019,0.0010865287396514927891,0.0010384081251969651893,0.00089310696322615002773,0.0012873478619181893642,0.0011981669002270099711,0.001454530198702328198,0.0011856144459642608555,r1,R1
50,0.0013507275462087700924,0.0013562033543270208924,0.0012719371040527309907,0.0014552551065644019756,0.0010632118887123138156,0.0010358134421733346452,0.0010406226313756680297,0.0011070236522870181293,r1,R1
51,0.0055046035823069877077,0.0055034084224587987783,0.005691272472548436953,0.0063352527104815868217,0.0061734176236009827353,0.0068761926931858236207,0.006535348924778846317,0.0070984401868923595953,r1,R1
52,0.0015717840937152464258,0.0014445805302161888281,0.0014443948908321314079,0.0016464932751921375731,0.0013099244326254209228,0.0010859028285936513491,0.0012846643126375422065,0.0013270364820059211883,r1,R1
53,0.0016025657906578989845,0.001685815965974438121,0.0015931567886512794625,0.0015545092108282318105,0.0017750938505473852003,0.0018114757281080473721,0.0018464550258531175723,0.0017322512302489475261,r1,R1
54,0.002291194436759887447,0.00218039719700232809,0.0021598790331711283073,0.0021787249987671010326,0.0016577850351475816228,0.0016028056383357502932,0.0015879858097037701528,0.0018512932555684961507,r1,R1
55,0.002497661311622068043,0.0026868595699421727712,0.002496387725406144968,0.0026211170638636890433,0.0034567480920378373808,0.0030132982612628254733,0.0037865324625238379838,0.00330977925671351326,r1,R1
56,0.008558899198289628782,0.008885243796188396659,0.008618664032520539702,0.010041054177787158275,0.009077659348360288604,0.009467057972858297121,0.009052041244830931273,0.010197263582990460318,r1,R1
57,0.0029303083344252322343,0.004131688624086058139,0.0030879156523408403828,0.0029720325204656804822,0.0035148603331652678756,0.0057385440788497925414,0.0040856744096517513252,0.0046426287431290683192,r1,R1
58,0.0029168827613685979587,0.002533827950689534491,0.0029383996447463955446,0.002375021737323213916,0.0033670580862948420535,0.0029544726017370278794,0.0033290341694892594844,0.0029873855026414599485,r1,R1
59,0.001764462001647097253,0.0020122071087880306887,0.0017080459323520512029,0.0021833880042026828873,0.001616395537076859161,0.0014828338704008003736,0.0016613260085380200803,0.0016295951794623936637,r1,R1
60,0.0007791643731920179911,0.00083197823623591510124,0.00085366844723269300603,0.0010409060667542161732,0.0009917540307507358578,0.0010247724623594236555,0.0010201910710478712152,0.00094352567138464011154,r1,R1
