topic,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,carnegie_group,carnegie_tag
260,0.059264148969873294958,0.041870892019818062063,0.32343830280924765024,-0.12655965873719076959,-0.060082735588477095845,-0.080321940980383499896,-0.12539964189189181746,-0.088075486766780095775,hsi,HSI
261,0.24520933483339678251,-0.10763554275194082407,0.033820440488124321786,-0.21098431319968463963,-0.12363559246372732417,-0.27263984428070785128,-0.16308383101690933044,-0.3004114110278133322,hsi,HSI
262,0.05832513508412230077,-0.2571937201905005381,0.09926045426522706039,0.16510420547218035902,-0.10670570509794034852,-0.17133240314196418165,-0.18395004921883208659,0.1107726066261885341,hsi,HSI
263,0.14862769611467532317,-0.1824528123446702662,0.10971519109783968492,0.25345525211656925514,-0.15782898281034967006,-0.26243319498234542414,-0.26410120840547933251,-0.32979451315154904812,hsi,HSI
264,0.078256647567663422814,0.1410370524901294881,-0.033703704444518782263,0.43225561159322915578,-0.20982313287093440579,-0.29310437839331399118,-0.36714049549928985688,-0.11052353801850386077,hsi,HSI
265,0.036226630356625604923,-0.19041286741996042378,0.12799473411798627037,-0.112264084163695229126,0.03659754725077969575,0.029204691592143151423,-0.0061690797873063639846,-0.11943623104459016063,hsi,HSI
266,0.01768555468437020778,-0.10891938123047850413,0.09530882686621922485,-0.24211248543106047318,0.12722884564915171017,-0.21072388211020277556,-0.048658705017261355227,-0.027110708207740788023,hsi,HSI
267,-0.41684943160702757939,-0.21133983955888620889,-0.36360117937307751213,-0.3778160566853084968,0.60496424310001040896,0.7781307879828335941,0.62531264029393615644,0.44320460191807383593,hsi,HSI
268,-0.014636219799580823869,-0.044345340689973840884,-0.048534454113229824807,0.1210423093542047911,-0.03751157367790251807,-0.0021320211389894509735,0.0017187193992613709892,0.100119246125893974456,hsi,HSI
269,0.08026321667643492334,-0.06770716274135305375,0.009397922463638356183,-0.3225768201692312924,0.040539332716721256425,0.39047873779502140852,0.050496756110660714597,-0.28198632119761416506,hsi,HSI
270,0.005966951692375630531,-0.008233576716753998538,0.18785163891819432985,-0.11358971055655326678,0.056041789513560246578,-0.2519135770210336823,0.011907020701019492494,-0.059853904397591528152,hsi,HSI
271,-0.04138199523206370704,-0.3960698162693535282,0.01847127390185699259,-0.3511116792612139521,0.212675932657271839,0.18645160292306188921,0.2553586848295963575,0.08886341236330910754,hsi,HSI
272,0.06756611835123015552,0.11907136351105310798,0.15198932645843832995,0.2186970295919659779,-0.18438706428456818313,-0.05626024145207186069,-0.22484414267747763441,-0.1261671661616296067,hsi,HSI
273,-0.24965684913598121817,0.3222508513725087135,-0.21540017375904693632,-0.42704977790259624306,0.24379027717567131192,1.3158292349374525493,0.23509523415089333162,0.25092629890393703881,hsi,HSI
274,-0.037580645406160553953,-0.1461702795787730415,0.24189146789207479965,0.077158869696923073115,-0.025543509089871104369,0.060488393185662078485,-0.1092820098822001435,0.13027962441453186143,hsi,HSI
275,0.1351187796507235941,0.29755667930454745489,0.08723461167573617642,-0.22394053280517370926,-0.08745466274820512791,-0.15567956956210618442,-0.14864025346033413828,-0.22869583536098333332,hsi,HSI
276,0.0038482627908634802535,-0.29769564984058997182,-0.16854879549549923301,-0.55391674931534009803,0.26252714523052450546,-0.04096498725852382335,0.3681435220325313067,0.11472773592395584712,hsi,HSI
277,-0.07721958252542397054,0.3071110865066520899,0.16092110751206490672,0.028717683118322013896,-0.054284708682287957074,0.14362729245242408891,-0.024289180279490847191,0.15201341479225679058,hsi,HSI
278,0.045588385731629585515,0.03824840275742950283,0.10743912872755345114,-0.06395805078809275432,-0.008628355410041254139,-0.09920886084854049856,-0.004217706975095029617,-0.17776240142471522204,hsi,HSI
279,0.120623234704768810335,-0.1550500152978957986,0.0105795102478124484905,0.7458005054368950367,-0.47105661035409961823,-0.2881051966860004978,-0.36741725750360860342,0.31150799293464743252,hsi,HSI
280,-0.047729094456654141867,1.1606073113343983285,-0.07033506819190942931,0.47274680282231742296,-0.29173334457850657767,-0.3006827155012393226,-0.3817653294810220031,0.06357333553345779695,hsi,HSI
281,0.08202810575145146868,0.25330747833793912588,0.0050663035200466242274,-0.10450179732152620822,-0.12661319917706692476,-0.25706926718433872404,-0.1200469159765844043,0.16551551690781231372,hsi,HSI
282,0.15638755538797202813,-0.04538192413086936523,0.40096105370401797488,-0.13340960566881527471,-0.22459764015068022121,0.46436414319961366733,-0.24599756865738448756,-0.25801957265155667665,hsi,HSI
283,0.110716440499187234034,0.24826166809738742973,0.11871595480621582983,-0.1986007555206677888,-0.04312819121135694515,-0.41370450350856108194,-0.16779205886306980899,-0.12620182564792567812,hsi,HSI
284,0.021353983443985621155,-0.07531888378535120344,0.110216365774196116347,-0.09724240907529704028,0.01045632236098006419,0.040696567937635282574,0.033787116692718530283,-0.0662746757334448873,hsi,HSI
285,-0.18328856609013571371,-0.26464722573219250952,-0.120082560443736559514,-0.17935703901023691744,0.3718197024648894958,-0.0109653384567162372415,0.5088598440494334997,0.022771979275845694404,hsi,HSI
286,0.102633114900200905686,-0.07195916273338561343,0.12623080487795403071,-0.23683933412897515542,0.04978560966445597048,-0.13083870869625160549,-0.014306650433402574591,-0.34234262735333958197,hsi,HSI
287,0.03598429539065886942,0.01899102067358792638,0.061601772269660076556,0.69178373114346730546,-0.32050902031333830495,-0.29323838377803711382,-0.3381187720911221344,0.13170902481536766874,hsi,HSI
288,-0.0022089139200349176741,-0.1143229468349065786,0.09937654914756598775,0.09645569160602078399,-0.025037079804536738344,-0.07722041213812082472,-0.14659520102110718399,0.07659794728766183272,hsi,HSI
289,-0.14478872828294777399,0.22028607687213128542,-0.11164852293036005884,0.60772693346240950563,-0.17817622668764974243,-0.0633375397422879241,-0.17239732784814619027,0.5263603815650817942,hsi,HSI
290,-0.069774790890310836936,0.21951244279649831349,0.08623759106226566002,0.21507521907615679527,-0.06760906923482927342,-0.10211701201870100267,-0.07744374320173681248,0.1509126544362249286,hsi,HSI
291,0.09496214476669973849,-0.10514596720390587229,0.08988396287412422144,-0.4270259494332762186,0.15540234620969719322,-0.049475407224086579534,0.08040913402605626831,-0.41965227739460009412,hsi,HSI
292,-0.06557709176370264345,-0.29654974246437560288,0.0007465552073538894674,-0.07281257483106984735,0.1473375952608684859,0.097047063160514962575,0.22816827930432928605,0.018509148918624087287,hsi,HSI
