hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,categories,metric,inst_group
-0.05015722598275585,-0.03258107110760877,0.09280091848971961,-0.06779401706439425,-0.0772289364083919,-0.08976574387101421,-0.022287283924236623,not_top,norm_cit_all_IAC,usnr_rank_cat
-0.04563211931778943,-0.02321005014251387,0.027601512743312462,-0.08068865718596585,-0.10825388140057846,-0.11149671197211775,-0.04782416916946319,top_100,norm_cit_all_IAC,usnr_rank_cat
-0.03188242443156086,-0.004769192537693034,0.0025537669625410597,-0.15149363654368553,-0.19836276063166813,-0.15543543106601831,-0.0919581862256259,top_10,norm_cit_all_IAC,usnr_rank_cat
-0.11768081794235452,-0.05680462925933416,0.17035148127745603,-0.06688489389849017,-0.026578053843930305,-0.0869446441703815,0.040205378309055906,inclusive,norm_cit_all_IAC,selindex
-0.03778160168240785,-0.02526332734035397,0.04713019695923504,-0.07956652680028098,-0.08442535763962067,-0.10557724270668412,-0.04271243071633157,selective,norm_cit_all_IAC,selindex
-0.047664947832625204,-0.028961938631781092,0.02851199223771972,-0.10208899473247857,-0.1409864201829737,-0.12829397931034148,-0.05490529228864138,more_selective,norm_cit_all_IAC,selindex
-0.05430984254903881,-0.024140228022211052,0.10625523380127144,-0.05874409994427243,-0.06615386330302964,-0.07923810824933719,0.010375516845174682,"(0.1, 1.47)",norm_cit_all_IAC,avg_citations_Q
-0.058528692355429124,-0.022494481491349694,0.009804936202201464,-0.08509059982798317,-0.09761332713314763,-0.10851134546981067,-0.05828846368013629,"(1.48, 1.74)",norm_cit_all_IAC,avg_citations_Q
-0.029391217682058435,-0.011672625463157837,0.025010709397077058,-0.12938037169980243,-0.18470991288102856,-0.1521705295665814,-0.08191455177687756,"(1.77, 4.07)",norm_cit_all_IAC,avg_citations_Q
-0.05231398444617019,-0.02659480902083966,0.19315562841985812,-0.06674071717912522,-0.06829422642152361,-0.08233061162886246,0.0708478782216293,"(0.1, 1.24)",norm_cit_all_IAC,avg_citations_Q10
-0.050472953032730916,-0.002946081869607764,0.07795174300440166,-0.04285613929612342,-0.05952268348166623,-0.06338755884991809,-0.029162573134967396,"(1.24, 1.34)",norm_cit_all_IAC,avg_citations_Q10
-0.05852303076313203,-0.03344979270223014,0.050501646781555776,-0.05592109801432377,-0.06332009959571383,-0.08153804362054007,-0.028798629924310593,"(1.34, 1.43)",norm_cit_all_IAC,avg_citations_Q10
-0.07082408664067763,-0.03647350051126863,0.026210922139884074,-0.07453309820995602,-0.10297969931039763,-0.08327128818679763,-0.044210136624336815,"(1.43, 1.54)",norm_cit_all_IAC,avg_citations_Q10
-0.06587743246317501,-0.007578931807768807,-0.04724459697551986,-0.09650264127784525,-0.10319996664713571,-0.12005075342245819,-0.09101666220363946,"(1.54, 1.59)",norm_cit_all_IAC,avg_citations_Q10
-0.06330268649251802,-0.04666927883600691,0.06666606132619446,-0.09036016328166752,-0.1222619856413899,-0.11848947906738494,-0.04544923115616961,"(1.59, 1.66)",norm_cit_all_IAC,avg_citations_Q10
-0.02186484800133226,-0.01526729641752611,0.009274187433905734,-0.08496712848671939,-0.07349566567715271,-0.1213616693713695,-0.03044785436269004,"(1.66, 1.81)",norm_cit_all_IAC,avg_citations_Q10
-0.04998793431783999,-0.002009771392415094,-0.015548880230466966,-0.09620846110126147,-0.15492921447227936,-0.12936696238847,-0.13711589574500938,"(1.82, 1.91)",norm_cit_all_IAC,avg_citations_Q10
-0.033330765085771596,-0.030531743888559615,-1.2082042487371325e-05,-0.1117628108451505,-0.17606316590059246,-0.13797872000032751,-0.032523211735328794,"(1.91, 2.15)",norm_cit_all_IAC,avg_citations_Q10
-0.023882532886733254,0.0029008469956786076,0.06667750838993869,-0.12958548820217897,-0.19138109948729576,-0.12749467232133216,-0.06570365636858311,"(2.17, 4.07)",norm_cit_all_IAC,avg_citations_Q10
-0.018785359082827302,-0.015563279380387596,0.0441261431287121,-0.019176680789275813,-0.030405205294624205,-0.037727554106981365,0.022504664042969136,not_top,norm_FI_2,usnr_rank_cat
-0.011379282935861101,-0.008843936204798841,0.03329304966965063,-0.03195791614383425,-0.03699374445917891,-0.04436185111837798,0.004038925628521817,top_100,norm_FI_2,usnr_rank_cat
0.00798512886836411,-0.01891332677510771,0.029121961366681548,-0.08124165052002974,-0.08798338330591371,-0.09197993673860472,-0.008579942949891617,top_10,norm_FI_2,usnr_rank_cat
-0.02393644662474992,-0.014723848356186342,0.08904555115613322,-0.009190167451379572,-0.028280632525140903,-0.034450418397869664,0.052303443336129796,inclusive,norm_FI_2,selindex
-0.009533169158988608,-0.01611851652849472,0.030558960242905497,-0.026843745408646424,-0.027811513140849176,-0.04481565625966466,0.015565193773068309,selective,norm_FI_2,selindex
-0.013357492226634737,-0.017498296491684995,0.03300203222628739,-0.04604314089632866,-0.05636362191207134,-0.06050406347592907,0.003232136655676454,more_selective,norm_FI_2,selindex
-0.013078604806154193,-0.009528767744697242,0.05702328236893117,-0.016710488681583868,-0.01937562383769509,-0.031125056204566848,0.035642311464107124,"(0.1, 1.47)",norm_FI_2,avg_citations_Q
-0.023011278088761578,-0.006457522622388079,0.021352012690486033,-0.03144962546603425,-0.040263171075469506,-0.04345231754580814,0.003265140906878461,"(1.48, 1.74)",norm_FI_2,avg_citations_Q
0.001005137002439982,-0.015047896786496984,0.038286117896434435,-0.06656349015491014,-0.07787107674678961,-0.07992870599517421,-0.010369602776432951,"(1.77, 4.07)",norm_FI_2,avg_citations_Q
