categories,white_M,hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,inst_group,metric
not_top,0.7758892425239666,0.7369727904491028,0.7506099399416646,0.8478924768764836,0.7232885939762169,0.7159681415531278,0.706240967507285,0.7585967786820741,usnr_rank_cat,norm_cit_all_IAC
top_100,1.0333277873933,0.9861748505045815,1.0093441976342485,1.061849197485055,0.9499499557955894,0.9214660436489035,0.9181151367095235,0.9839097444814957,usnr_rank_cat,norm_cit_all_IAC
top_10,1.4370090797214108,1.3911937463297261,1.4301557067418063,1.4406788660340748,1.2193113484881193,1.1519599916150989,1.213646953969131,1.304864331160474,usnr_rank_cat,norm_cit_all_IAC
negative_effect,-0.2574385448693334,-0.24920206005547874,-0.25873425769258396,-0.2139567206085714,-0.22666136181937246,-0.20549790209577568,-0.21187416920223845,-0.22531296579942162,usnr_rank_cat,norm_cit_all_IAC
positive_effect,0.4036812923281108,0.4050188958251446,0.4208115091075577,0.3788296685490198,0.2693613926925299,0.23049394796619538,0.29553181725960753,0.32095458667897825,usnr_rank_cat,norm_cit_all_IAC
inclusive,0.6750589393594537,0.5956174512163349,0.6367124665809406,0.790056229628925,0.6299076938251693,0.6571171865213317,0.6163661800828109,0.7021999393973106,selindex,norm_cit_all_IAC
selective,0.8410992262653587,0.8093211503232195,0.8198502611864985,0.8807403984615052,0.7741758821370205,0.7700891232774976,0.7522982891135367,0.8051738338379395,selindex,norm_cit_all_IAC
more_selective,1.096800190630977,1.044521266761738,1.0650347308185968,1.128072149152577,0.9848289617470697,0.9421662580979124,0.9560873296665878,1.0365800555821456,selindex,norm_cit_all_IAC
negative_effect,-0.166040286905905,-0.21370369910688458,-0.1831377946055579,-0.09068416883258024,-0.14426818831185118,-0.1129719367561659,-0.13593210903072583,-0.10297389444062888,selindex,norm_cit_all_IAC
positive_effect,0.2557009643656183,0.23520011643851857,0.24518446963209828,0.24733175069107172,0.2106530796100492,0.17207713482041487,0.20378904055305114,0.2314062217442061,selindex,norm_cit_all_IAC
"(0.1, 1.47)",0.7624226016551335,0.7210155502034147,0.7440175462018912,0.8434339934493733,0.7176347721437322,0.7119854010860996,0.7020096770134427,0.7703331302017482,avg_citations_Q,norm_cit_all_IAC
"(1.48, 1.74)",1.0047522315163862,0.9459453972645326,0.9821508510411485,1.0146037630454239,0.9192572614581522,0.906675023253617,0.8957252150107484,0.9461867675621074,avg_citations_Q,norm_cit_all_IAC
"(1.77, 4.07)",1.31857174682445,1.2798173175841205,1.3031805526774665,1.3515501616034726,1.1479744441074449,1.0750184743411202,1.1179239858386412,1.2105615331976707,avg_citations_Q,norm_cit_all_IAC
negative_effect,-0.24232962986125262,-0.22492984706111796,-0.23813330483925732,-0.17116976959605057,-0.20162248931442006,-0.1946896221675174,-0.19371553799730568,-0.1758536373603592,avg_citations_Q,norm_cit_all_IAC
positive_effect,0.31381951530806385,0.3338719203195879,0.32102970163631794,0.33694639855804875,0.22871718264929264,0.16834345108750315,0.22219877082789274,0.2643747656355633,avg_citations_Q,norm_cit_all_IAC
"(0.1, 1.24)",0.6468992258212708,0.6130573497834173,0.629695064454825,0.7718514523090981,0.6037247075473383,0.6027197436211246,0.5936396168971679,0.6927306633939225,avg_citations_Q10,norm_cit_all_IAC
"(1.24, 1.34)",0.795831434821533,0.7556634721898149,0.7934868502601413,0.8578678823035653,0.7617251719945876,0.7484614122218906,0.7453856229121683,0.7726229424004439,avg_citations_Q10,norm_cit_all_IAC
"(1.34, 1.43)",0.8475194599099963,0.7979200524853306,0.8191701096649009,0.8903205883148659,0.8001252411233227,0.7938544432991897,0.7784143812185985,0.8231120606303968,avg_citations_Q10,norm_cit_all_IAC
"(1.43, 1.54)",0.9098273757647335,0.8453896828755116,0.8766427865096122,0.9336747902716379,0.842015122612754,0.8161336261841131,0.8340648781571905,0.8696037831776128,avg_citations_Q10,norm_cit_all_IAC
"(1.54, 1.59)",0.9917363510229452,0.9264033065371555,0.9842200488472569,0.9448821668128935,0.8960311736979787,0.8893891926746252,0.8726776548862012,0.9014718185668198,avg_citations_Q10,norm_cit_all_IAC
"(1.59, 1.66)",1.0380492412131415,0.9723379355328298,0.98960423172946,1.1072518955874664,0.9442509422827109,0.9111352797888846,0.9150513273755021,0.9908707012977589,avg_citations_Q10,norm_cit_all_IAC
"(1.66, 1.81)",1.0411213311328082,1.0183573714766447,1.0252262231637943,1.0507768854991713,0.9526602412201826,0.9646034258505192,0.9147691083683883,1.0094214204685865,avg_citations_Q10,norm_cit_all_IAC
"(1.82, 1.91)",1.2056958667096382,1.1454256209172657,1.203272693648772,1.186948646083801,1.0896977228173523,1.01889835318784,1.0497186548690787,1.0403757979496908,avg_citations_Q10,norm_cit_all_IAC
"(1.91, 2.15)",1.2448156873249208,1.2033250280756105,1.206809293571055,1.2448006474088975,1.1056915871253497,1.0256494964517733,1.0730576121515003,1.2043302831545935,avg_citations_Q10,norm_cit_all_IAC
"(2.17, 4.07)",1.5057006623658318,1.4697407167793037,1.5100684696086468,1.6060970309134657,1.3105837069468111,1.2175380141035095,1.3137318498034873,1.4067706234517992,avg_citations_Q10,norm_cit_all_IAC
negative_effect,-0.14893220900026216,-0.14260612240639758,-0.16379178580531628,-0.08601642999446713,-0.15800046444724924,-0.14574166860076598,-0.15174600601500032,-0.0798922790065214,avg_citations_Q10,norm_cit_all_IAC
positive_effect,0.051688025088463374,0.04225658029551571,0.025683259404759573,0.03245270601130068,0.03840006912873517,0.045393031077299195,0.03302875830643026,0.050489118229952834,avg_citations_Q10,norm_cit_all_IAC
